recv_time,security_id,bid_price,bid_size,ask_price,ask_size
1518164702424616,4,0.1,10000,0,0
1518164702424761,4,0.14,10000,0,0
1518164702424766,4,0.15,5000,0,0
1518164702424779,4,0.16,5000,0,0
1518164702526540,4,0.175,20000,0,0
1518164702526546,4,0.175,40000,0,0
1518164702624517,4,0.175,50000,0,0
1518164702624539,4,0.175,60000,0,0
1518164702624542,4,0.18,4000,0,0
